dataset_type,n,algorithm,trial,seconds,status
random,1000,bubble,1,0.078009541,OK
random,1000,selection,1,0.029840506,OK
random,1000,insertion,1,0.025361381,OK
random,1000,merge,1,0.002695763,OK
random,5000,bubble,1,,TIMEOUT
random,5000,selection,1,,TIMEOUT
random,5000,insertion,1,,TIMEOUT
random,5000,merge,1,0.015089759,OK
random,10000,bubble,1,,TIMEOUT
random,10000,selection,1,,TIMEOUT
random,10000,insertion,1,,TIMEOUT
random,10000,merge,1,0.031265092,OK
random,50000,bubble,1,,TIMEOUT
random,50000,selection,1,,TIMEOUT
random,50000,insertion,1,,TIMEOUT
random,50000,merge,1,0.238488266,OK
sorted,1000,bubble,1,0.000089747,OK
sorted,1000,selection,1,0.027748468,OK
sorted,1000,insertion,1,0.000150962,OK
sorted,1000,merge,1,0.001793544,OK
sorted,5000,bubble,1,0.000667809,OK
sorted,5000,selection,1,0.887744281,OK
sorted,5000,insertion,1,0.000714244,OK
sorted,5000,merge,1,0.010963637,OK
sorted,10000,bubble,1,0.001018527,OK
sorted,10000,selection,1,,TIMEOUT
sorted,10000,insertion,1,0.001644553,OK
sorted,10000,merge,1,0.041528498,OK
sorted,50000,bubble,1,0.004258878,OK
sorted,50000,selection,1,,TIMEOUT
sorted,50000,insertion,1,0.009607746,OK
sorted,50000,merge,1,0.180194893,OK
reverse_sorted,1000,bubble,1,0.100215195,OK
reverse_sorted,1000,selection,1,0.036724146,OK
reverse_sorted,1000,insertion,1,0.075177164,OK
reverse_sorted,1000,merge,1,0.022350299,OK
reverse_sorted,5000,bubble,1,,TIMEOUT
reverse_sorted,5000,selection,1,,TIMEOUT
reverse_sorted,5000,insertion,1,,TIMEOUT
reverse_sorted,5000,merge,1,0.023386874,OK
reverse_sorted,10000,bubble,1,,TIMEOUT
reverse_sorted,10000,selection,1,,TIMEOUT
reverse_sorted,10000,insertion,1,,TIMEOUT
reverse_sorted,10000,merge,1,0.042745518,OK
reverse_sorted,50000,bubble,1,,TIMEOUT
reverse_sorted,50000,selection,1,,TIMEOUT
reverse_sorted,50000,insertion,1,,TIMEOUT
reverse_sorted,50000,merge,1,0.148357313,OK
partially_sorted,1000,bubble,1,0.055991457,OK
partially_sorted,1000,selection,1,0.026542652,OK
partially_sorted,1000,insertion,1,0.005882026,OK
partially_sorted,1000,merge,1,0.002267636,OK
partially_sorted,5000,bubble,1,,TIMEOUT
partially_sorted,5000,selection,1,,TIMEOUT
partially_sorted,5000,insertion,1,0.192588358,OK
partially_sorted,5000,merge,1,0.033325660,OK
partially_sorted,10000,bubble,1,,TIMEOUT
partially_sorted,10000,selection,1,,TIMEOUT
partially_sorted,10000,insertion,1,,TIMEOUT
partially_sorted,10000,merge,1,0.033500546,OK
partially_sorted,50000,bubble,1,,TIMEOUT
partially_sorted,50000,selection,1,,TIMEOUT
partially_sorted,50000,insertion,1,,TIMEOUT
partially_sorted,50000,merge,1,0.197769679,OK
